index,ion_index,energy,s,p,d
5039,S,-45.2815,0.0,0.0,0.0
8038,Zr,-45.2618,0.0,0.0,0.0
5038,S,-45.2618,0.0,0.0,0.0
2038,Ba,-45.2618,0.0,0.0,0.0
5037,S,-45.242,0.0,0.0,0.0
2037,Ba,-45.242,0.0,0.0,0.0
8037,Zr,-45.242,0.0,0.0,0.0
5036,S,-45.2223,0.0,0.0,0.0
2036,Ba,-45.2223,0.0,0.0,0.0
8036,Zr,-45.2223,0.0,0.0,0.0
8035,Zr,-45.2025,0.0,0.0,0.0
2035,Ba,-45.2025,0.0,0.0,0.0
5035,S,-45.2025,0.0,0.0,0.0
2034,Ba,-45.1828,0.0,0.0,0.0
5034,S,-45.1828,0.0,0.0,0.0
8034,Zr,-45.1828,0.0,0.0,0.0
2033,Ba,-45.163,0.0,0.0,0.0
5033,S,-45.163,0.0,0.0,0.0
8033,Zr,-45.163,0.0,0.0,0.0
2032,Ba,-45.1433,0.0,0.0,0.0
5032,S,-45.1433,0.0,0.0,0.0
8032,Zr,-45.1433,0.0,0.0,0.0
8031,Zr,-45.1235,0.0,0.0,0.0
2031,Ba,-45.1235,0.0,0.0,0.0
5031,S,-45.1235,0.0,0.0,0.0
8030,Zr,-45.1038,0.0,0.0,0.0
2030,Ba,-45.1038,0.0,0.0,0.0
5030,S,-45.1038,0.0,0.0,0.0
5029,S,-45.0841,0.0,0.0,0.0
8029,Zr,-45.0841,0.0,0.0,0.0
2029,Ba,-45.0841,0.0,0.0,0.0
8028,Zr,-45.0643,0.0,0.0,0.0
2028,Ba,-45.0643,0.0,0.0,0.0
5028,S,-45.0643,0.0,0.0,0.0
8027,Zr,-45.0446,0.0,0.0,0.0
5027,S,-45.0446,0.0,0.0,0.0
2027,Ba,-45.0446,0.0,0.0,0.0
2026,Ba,-45.0248,0.0,0.0,0.0
8026,Zr,-45.0248,0.0,0.0,0.0
5026,S,-45.0248,0.0,0.0,0.0
8025,Zr,-45.0051,0.0,0.0,0.0
5025,S,-45.0051,0.0,0.0,0.0
2025,Ba,-45.0051,0.0,0.0,0.0
5024,S,-44.9853,0.0,0.0,0.0
8024,Zr,-44.9853,0.0,0.0,0.0
2024,Ba,-44.9853,0.0,0.0,0.0
8023,Zr,-44.9656,0.0,0.0,0.0
2023,Ba,-44.9656,0.0,0.0,0.0
5023,S,-44.9656,0.0,0.0,0.0
2022,Ba,-44.9459,0.0,0.0,0.0
8022,Zr,-44.9459,0.0,0.0,0.0
5022,S,-44.9459,0.0,0.0,0.0
8021,Zr,-44.9261,0.0,0.0,0.0
2021,Ba,-44.9261,0.0,0.0,0.0
5021,S,-44.9261,0.0,0.0,0.0
2020,Ba,-44.9064,0.0,0.0,0.0
8020,Zr,-44.9064,0.0,0.0,0.0
5020,S,-44.9064,0.0,0.0,0.0
8019,Zr,-44.8866,0.0,0.0,0.0
5019,S,-44.8866,0.0,0.0,0.0
2019,Ba,-44.8866,0.0,0.0,0.0
2018,Ba,-44.8669,0.0,0.0,0.0
5018,S,-44.8669,0.0,0.0,0.0
8018,Zr,-44.8669,0.0,0.0,0.0
5017,S,-44.8471,0.0,0.0,0.0
2017,Ba,-44.8471,0.0,0.0,0.0
8017,Zr,-44.8471,0.0,0.0,0.0
8016,Zr,-44.8274,0.0,0.0,0.0
5016,S,-44.8274,0.0,0.0,0.0
2016,Ba,-44.8274,0.0,0.0,0.0
8015,Zr,-44.8076,0.0,0.0,0.0
2015,Ba,-44.8076,0.0,0.0,0.0
5015,S,-44.8076,0.0,0.0,0.0
2014,Ba,-44.7879,0.0,0.0,0.0
5014,S,-44.7879,0.0,0.0,0.0
8014,Zr,-44.7879,0.0,0.0,0.0
8013,Zr,-44.7682,0.0,0.0,0.0
5013,S,-44.7682,0.0,0.0,0.0
2013,Ba,-44.7682,0.0,0.0,0.0
5012,S,-44.7484,0.0,0.0,0.0
2012,Ba,-44.7484,0.0,0.0,0.0
8012,Zr,-44.7484,0.0,0.0,0.0
5011,S,-44.7287,0.0,0.0,0.0
2011,Ba,-44.7287,0.0,0.0,0.0
8011,Zr,-44.7287,0.0,0.0,0.0
8010,Zr,-44.7089,0.0,0.0,0.0
2010,Ba,-44.7089,0.0,0.0,0.0
5010,S,-44.7089,0.0,0.0,0.0
